title,category,collection,textileTitle,textileColor,width,height,length,depth,seatHeight,seatDepth,seatWidth,depthSeatPillow,sleepingPlace,heightOnPillows,textAvailableSizes,standardSize,availableSizes,description
Каприз,Дивани,Модерн,Ronda-06 Pegasus-72 PRESTON-23,бєж голубий коричневий,Ширина 255 с,Висота 81 см;,---,Глибина 102 с,---,Глибина сидіння до под,---,Глибина сидіння до подушки 55 см;,---,---,---,---,---,"Диван КАПРИЗ притягує своєю простотою. Функціональність та нічого зайвого. Ідеальне рішення для усіх, хто звик цінувати справжній комфорт і затишок. Широкі підлокітники, м’які подушки створені для приємних домашніх посиденьок. Лаконічні форми дозволяють експериментувати з різними варіантами тканини й кольору. Ви з легкістю перетворите диван у просторе спальне місце 195 х 150 см."
Альберто,Дивани,Комфорт,Ronda-06 Pegasus-72 PRESTON-23,бєж голубий коричневий,Ширина 250 с,Висота 73 см;,---,Глибина 156 с,Висота сидіння 45 см;,Глибина сидіння 75 см;,---,Глибина сидіння до подушки 50 см;,---,---,---,---,---,"Щоб дивитися комедії усією сім’єю чи великою компанією друзів, Вам просто необхідний кутовий диван Альберто. Але повинні попередити! Під час тестування даної моделі з’ясувалося, що диван ну просто дууууже зручний. Тому ця велика компанія може солодко заснути і ,навряд, захоче покидати цей комфортний та атмосферний простір. Концепцію комфортного відпочинку ми втілили не тільки в дизайні даної моделі, але і в продуманій конструкції. М’які накладки на підлокітники, великі подушки, продумана висота та глибина сидіння, крокуючий механізм трансформації, глибока ніша для зберігання речей – кожна деталь має значення."
Ден,Дивани,Комфорт,Ronda-06 Pegasus-72 PRESTON-23,бєж голубий коричневий,Ширина 282 с,Висота 76 см;,---,Глибина 213 с,Висота сидіння 49 см.,Глибина сидіння 78 см;,---,---,---,---,---,---,---,"Кутовий диван Ден – одні позитивні емоції. Поєднання комфортного відпочинку та стилю. Максимум практичності та функціональності. Зручна кутова конструкція дивану дозволяє ефективно використовувати простір кімнати. При розкладенні утворюється просторе ліжко, а також вбудовані полички. Передбачений вмісткий короб для зберігання постільних приналежностей."
Еден,Дивани,Модерн,Ronda-06 Pegasus-72 PRESTON-23,бєж голубий коричневий,Ширина 242 с,Висота 80 см;,---,Глибина 215 с,Висота сидіння 50 см.,Глибина сидіння 80 см;,---,---,---,---,---,---,---,"Кутовий диван Еден. Втілення сучасного дизайну та комфорту. Неймовірно зручний, м’який, виготовлений з екологічно чистих і якісних матеріалів. Насолоджуйтеся відпочинком! Відчуйте нашу любов у кожній дрібниці."
Лакі,Дивани,Модерн,Ronda-06 Pegasus-72 PRESTON-23,бєж голубий коричневий,Ширина 237 с,Висота 78 см;,---,Глибина 156 с,Висота сидіння 44 см;,---,---,---,---,---,---,---,---,Затишний куток Лакі в скандинавському стилі. Наповнює інтер’єр теплом. Створює ідеальні умови для мрій і роздумів. Відпочивай та насолоджуйся.
Отіум,Дивани,Комфорт,Ronda-06 Pegasus-72 PRESTON-23,бєж голубий коричневий,Ширина 347 с,Висота 62 см;,---,Глибина 265 с,---,---,---,---,---,---,---,---,---,"Диван Отіум. Просторий, м’який, стильний, створений з екологічно чистих матеріалів. Ми старалися об’єднати такі, здавалося б, протилежні поняття, як розкіш і простота. Багатогранність моделі варта уваги найвимогливіших покупців. Модель представлена модульною системою, елементи якої дозволяють отримувати меблі різноманітних компоновок та габаритів. Дерев’яний каркас виготовлений з фанери та ламелей власного виробництва. Характеризується своєю міцністю, надійністю та довговічністю. Для наповнення ми використали:"
Лаурель,Дивани,Комфорт,Ronda-06 Pegasus-72 PRESTON-23,бєж голубий коричневий,Ширина 222 с,Висота 81 см;,---,Глибина 102 с,---,Глибина сидіння 74 см;,---,Глибина сидіння до подушки 52 см;,---,---,---,---,---,"Диван Лаурель створений з екологічно чистих матеріалів і має багато переваг. Дерев’яний каркас витримує великі щоденні навантаження і не піддається деформації. Тому служитиме Вам довго. Диван легко трансформується в комфортну постіль для щоденного сну. Сидіння зрушується вперед, а на його місце кладеться спинка дивана. Для зберігання постільних приналежностей передбачений вмісткий короб для білизни, розташований під сидінням."
Елата,Дивани,Модерн,Ronda-06 Pegasus-72 PRESTON-23,бєж голубий коричневий,Ширина 264 с,Висота 87 см;,---,Глибина 108 с,---,---,---,---,---,---,---,---,---,"На сьогодні функціональність – це особлива цінність. Продумана конструкція та унікальний механізм трансформації з легкістю перетворить диван на зручне ліжко. У тумби можна покласти подушки. Або ж використовувати їх для зберігання речей. Модель може бути представлена як кутовий варіант дивану. "
Мартін,Дивани,Комфорт,Ronda-06 Pegasus-72 PRESTON-23,бєж голубий коричневий,Ширина 253 с,Висота загаль,---,Глибина 105 с,"Висота сидіння 42 см ","Глибина сидіння 75 см ",---,---,---,---,---,---,---,"Диван Мартін створить затишок в оселі. Ідеальне рішення для усіх, хто цінує комфорт та функціональність. Широкі підлокітники, м’які подушки створені для приємних домашніх посиденьок. Лаконічні форми дозволяють експериментувати з різними варіантами тканини й кольору. Ви з легкістю перетворите диван у просторе спальне місце 150 х 192. Сидіння зрушується вперед, а на його місце кладеться спинка дивана. Для зберігання постільної білизни передбачена ніша, розташована під сидінням."
Олівер,Дивани,Модерн,Ronda-06 Pegasus-72 PRESTON-23,бєж голубий коричневий,Ширина 215 с,Висота 80 см;,---,Глибина 108 с,---,Глибина сидіння до под,---,Глибина сидіння до подушки 55 см;,---,---,---,---,---,"Головний критерій при виборі дивану – це емоції, які він викликає. Диван ОЛІВЕР не залишить Вас байдужими. Так вважають його творці, які втілюють своє натхнення новими і новими ідеями. Чудове рішення для оселі в скандинавському стилі. А також хороша ідея для власників квартир з невеликою площею. "
